Time resolution is 1 ps
Time = 2595 | serial_in = 1 | Internal stream_in = 00011001 | parity_out = 1
Time = 2600 | serial_in = 0 | Internal stream_in = 00011001 | parity_out = 1
Time = 2605 | serial_in = 0 | Internal stream_in = 00011001 | parity_out = 0
Time = 2610 | serial_in = 0 | Internal stream_in = 00011010 | parity_out = 0
Time = 2650 | serial_in = 1 | Internal stream_in = 00011010 | parity_out = 0
Time = 2655 | serial_in = 1 | Internal stream_in = 00011010 | parity_out = 1
Time = 2665 | serial_in = 1 | Internal stream_in = 00011010 | parity_out = 0
Time = 2670 | serial_in = 0 | Internal stream_in = 00011010 | parity_out = 0
Time = 2680 | serial_in = 1 | Internal stream_in = 00011010 | parity_out = 0
Time = 2685 | serial_in = 1 | Internal stream_in = 00011010 | parity_out = 1
Time = 2690 | serial_in = 0 | Internal stream_in = 00011010 | parity_out = 1
Time = 2705 | serial_in = 0 | Internal stream_in = 00011010 | parity_out = 0
Time = 2710 | serial_in = 0 | Internal stream_in = 00011011 | parity_out = 0
Time = 2750 | serial_in = 1 | Internal stream_in = 00011011 | parity_out = 0
Time = 2755 | serial_in = 1 | Internal stream_in = 00011011 | parity_out = 1
Time = 2765 | serial_in = 1 | Internal stream_in = 00011011 | parity_out = 0
Time = 2770 | serial_in = 0 | Internal stream_in = 00011011 | parity_out = 0
Time = 2780 | serial_in = 1 | Internal stream_in = 00011011 | parity_out = 0
Time = 2785 | serial_in = 1 | Internal stream_in = 00011011 | parity_out = 1
Time = 2795 | serial_in = 1 | Internal stream_in = 00011011 | parity_out = 0
Time = 2800 | serial_in = 0 | Internal stream_in = 00011011 | parity_out = 0
Time = 2810 | serial_in = 0 | Internal stream_in = 00011100 | parity_out = 0
Time = 2850 | serial_in = 1 | Internal stream_in = 00011100 | parity_out = 0
Time = 2855 | serial_in = 1 | Internal stream_in = 00011100 | parity_out = 1
Time = 2865 | serial_in = 1 | Internal stream_in = 00011100 | parity_out = 0
Time = 2875 | serial_in = 1 | Internal stream_in = 00011100 | parity_out = 1
Time = 2880 | serial_in = 0 | Internal stream_in = 00011100 | parity_out = 1
Time = 2905 | serial_in = 0 | Internal stream_in = 00011100 | parity_out = 0
Time = 2910 | serial_in = 0 | Internal stream_in = 00011101 | parity_out = 0
Time = 2950 | serial_in = 1 | Internal stream_in = 00011101 | parity_out = 0
Time = 2955 | serial_in = 1 | Internal stream_in = 00011101 | parity_out = 1
Time = 2965 | serial_in = 1 | Internal stream_in = 00011101 | parity_out = 0
Time = 2975 | serial_in = 1 | Internal stream_in = 00011101 | parity_out = 1
Time = 2980 | serial_in = 0 | Internal stream_in = 00011101 | parity_out = 1
Time = 2990 | serial_in = 1 | Internal stream_in = 00011101 | parity_out = 1
Time = 2995 | serial_in = 1 | Internal stream_in = 00011101 | parity_out = 0
Time = 3000 | serial_in = 0 | Internal stream_in = 00011101 | parity_out = 0
Time = 3010 | serial_in = 0 | Internal stream_in = 00011110 | parity_out = 0
Time = 3050 | serial_in = 1 | Internal stream_in = 00011110 | parity_out = 0
Time = 3055 | serial_in = 1 | Internal stream_in = 00011110 | parity_out = 1
Time = 3065 | serial_in = 1 | Internal stream_in = 00011110 | parity_out = 0
Time = 3075 | serial_in = 1 | Internal stream_in = 00011110 | parity_out = 1
Time = 3085 | serial_in = 1 | Internal stream_in = 00011110 | parity_out = 0
Time = 3090 | serial_in = 0 | Internal stream_in = 00011110 | parity_out = 0
Time = 3110 | serial_in = 0 | Internal stream_in = 00011111 | parity_out = 0
Time = 3150 | serial_in = 1 | Internal stream_in = 00011111 | parity_out = 0
Time = 3155 | serial_in = 1 | Internal stream_in = 00011111 | parity_out = 1
Time = 3165 | serial_in = 1 | Internal stream_in = 00011111 | parity_out = 0
